time,user,hostname,pipeline,resize,detector_pre,detector_model,detector_post,extract_roi,landmark_pre,landmark_model,landmark_post,annotate,total,fps
2024-09-28 04:08:27.291332,root,maaxboardosm93,blaze_tflite,0.0017259189999094815,0.0013537750000978122,0.010435559000143257,0.002499041000191937,0.0,0.0,0.0,0.0,0.0,0.01601429400034249,62.444213899071265
2024-09-28 04:08:27.359562,root,maaxboardosm93,blaze_tflite,0.0017037089996847499,0.0014448629999606055,0.010409307000372792,0.002671881999958714,0.0,0.0,0.0,0.0,0.0,0.01622976099997686,61.61520185056488
2024-09-28 04:08:27.427898,root,maaxboardosm93,blaze_tflite,0.0023604920002071594,0.0014610719999836874,0.010752615999990667,0.004183207999631122,0.0,0.0,0.0,0.0,0.0,0.018757387999812636,53.31232685542298
2024-09-28 04:08:27.496323,root,maaxboardosm93,blaze_tflite,0.001955013000042527,0.001448445999812975,0.014634933999786881,0.0027390109999032575,0.0,0.0,0.0,0.0,0.0,0.02077740399954564,48.12920805803593
2024-09-28 04:08:27.557622,root,maaxboardosm93,blaze_tflite,0.00195097200003147,0.001321064999956434,0.010765117000119062,0.0028303899998718407,0.0,0.0,0.0,0.0,0.0,0.016867543999978807,59.285453768566214
2024-09-28 04:08:27.624115,root,maaxboardosm93,blaze_tflite,0.0019280540000181645,0.0012709800002994598,0.010499771000013425,0.002869183999791858,0.0,0.0,0.0,0.0,0.0,0.016567989000122907,60.357355379254635
2024-09-28 04:08:27.691297,root,maaxboardosm93,blaze_tflite,0.001698625999779324,0.001340066000011575,0.010418557999855693,0.0025035409998963587,0.0,0.0,0.0,0.0,0.0,0.01596079099954295,62.65353640860505
2024-09-28 04:08:27.755848,root,maaxboardosm93,blaze_tflite,0.001786880000054225,0.0013641919999827223,0.01047247700034859,0.0023714509998171707,0.0,0.0,0.0,0.0,0.0,0.015995000000202708,62.51953735463125
2024-09-28 04:08:27.823654,root,maaxboardosm93,blaze_tflite,0.0016713750001144945,0.0014849489998596255,0.010413182999855053,0.0027160510003341187,0.0,0.0,0.0,0.0,0.0,0.01628555800016329,61.40409803520231
2024-09-28 04:08:27.887541,root,maaxboardosm93,blaze_tflite,0.0017311280003013962,0.0014432379998652323,0.010405682000055094,0.002585252999779186,0.0,0.0,0.0,0.0,0.0,0.01616530100000091,61.860895754427574
2024-09-28 04:08:27.956239,root,maaxboardosm93,blaze_tflite,0.0018007140001827793,0.0013655669999934616,0.010564731999693322,0.002709260000301583,0.0,0.0,0.0,0.0,0.0,0.016440273000171146,60.826240536856645
2024-09-28 04:08:28.023755,root,maaxboardosm93,blaze_tflite,0.0017135019998022472,0.001430028999948263,0.010413266999876214,0.0028566830001182097,0.0,0.0,0.0,0.0,0.0,0.016413480999744934,60.925528229845945
2024-09-28 04:08:28.087606,root,maaxboardosm93,blaze_tflite,0.001742627999647084,0.0014416130002246064,0.01039851500036093,0.002627505999953428,0.0,0.0,0.0,0.0,0.0,0.01621026200018605,61.68931754394363
2024-09-28 04:08:28.155783,root,maaxboardosm93,blaze_tflite,0.0019843489999402664,0.0013654839999617252,0.010427892000279826,0.002389159999893309,0.0,0.0,0.0,0.0,0.0,0.016166885000075126,61.85483474369695
2024-09-28 04:08:28.220535,root,maaxboardosm93,blaze_tflite,0.0018853850001505634,0.0013616100000035658,0.01129856000034124,0.002383826999903249,0.0,0.0,0.0,0.0,0.0,0.01692938200039862,59.06890162774129
2024-09-28 04:08:28.287680,root,maaxboardosm93,blaze_tflite,0.0016948339998634765,0.0014349879998007964,0.010403848999885668,0.00275226100029613,0.0,0.0,0.0,0.0,0.0,0.01628593199984607,61.402687915524375
2024-09-28 04:08:28.355813,root,maaxboardosm93,blaze_tflite,0.001812547999634262,0.001363733999824035,0.010433307999846875,0.0024179949996323558,0.0,0.0,0.0,0.0,0.0,0.016027584998937527,62.39243155261945
2024-09-28 04:08:28.419809,root,maaxboardosm93,blaze_tflite,0.0017041680002876092,0.0014324459998533712,0.010395639999842388,0.0028645580000556947,0.0,0.0,0.0,0.0,0.0,0.016396812000039063,60.98746512417278
2024-09-28 04:08:28.487589,root,maaxboardosm93,blaze_tflite,0.0016962090003289632,0.0014596139999412117,0.010417848999622947,0.002614171000004717,0.0,0.0,0.0,0.0,0.0,0.01618784299989784,61.77475281952704
2024-09-28 04:08:28.551803,root,maaxboardosm93,blaze_tflite,0.0017321689997515932,0.0014155280000522907,0.010430641999846557,0.0028221809998285607,0.0,0.0,0.0,0.0,0.0,0.016400519999479002,60.97367644634238
2024-09-28 04:08:28.619563,root,maaxboardosm93,blaze_tflite,0.0017038340001818142,0.0014429050002036092,0.010425892000057502,0.0026044209998872248,0.0,0.0,0.0,0.0,0.0,0.01617705200033015,61.81596003892375
2024-09-28 04:08:28.683447,root,maaxboardosm93,blaze_tflite,0.0017267110001739638,0.0013229820001470216,0.010378096999829722,0.002594212000076368,0.0,0.0,0.0,0.0,0.0,0.016022002000227076,62.41417270986655
2024-09-28 04:08:28.751299,root,maaxboardosm93,blaze_tflite,0.0016934590003074845,0.0013116489999447367,0.010425557999951707,0.0024739560003581573,0.0,0.0,0.0,0.0,0.0,0.015904622000562085,62.87480456716664
2024-09-28 04:08:28.819566,root,maaxboardosm93,blaze_tflite,0.0016915000001063163,0.0014894070000082138,0.010417849999612372,0.002561168000283942,0.0,0.0,0.0,0.0,0.0,0.016159925000010844,61.88147531621149
2024-09-28 04:08:28.883556,root,maaxboardosm93,blaze_tflite,0.0017050009996637527,0.0014376549997905386,0.01040547399998104,0.0025960450002457947,0.0,0.0,0.0,0.0,0.0,0.016144174999681127,61.941845899202136
2024-09-28 04:08:28.951674,root,maaxboardosm93,blaze_tflite,0.001718001999961416,0.0014292790001491085,0.010395473999778915,0.002726884999901813,0.0,0.0,0.0,0.0,0.0,0.016269639999791252,61.46417499175338
2024-09-28 04:08:29.015738,root,maaxboardosm93,blaze_tflite,0.0017160850002255756,0.00142623800002184,0.010403349000171147,0.002759970000170142,0.0,0.0,0.0,0.0,0.0,0.016305642000588705,61.328465322855465
2024-09-28 04:08:29.084029,root,maaxboardosm93,blaze_tflite,0.0018050479998237279,0.001355524999780755,0.010539772999891284,0.002662589999999909,0.0,0.0,0.0,0.0,0.0,0.016362935999495676,61.11372678050083
2024-09-28 04:08:29.151744,root,maaxboardosm93,blaze_tflite,0.001725169000110327,0.0014305710001281113,0.010441309999805526,0.0027265100002296094,0.0,0.0,0.0,0.0,0.0,0.016323560000273574,61.26114646457271
2024-09-28 04:08:29.215817,root,maaxboardosm93,blaze_tflite,0.0017165019999083597,0.0014352799998960108,0.010395305999736593,0.0026755500002764165,0.0,0.0,0.0,0.0,0.0,0.01622263799981738,61.6422557176741
2024-09-28 04:08:29.283712,root,maaxboardosm93,blaze_tflite,0.0017004180003823421,0.001429280000138533,0.010412224999981845,0.002728843999648234,0.0,0.0,0.0,0.0,0.0,0.016270767000150954,61.459917654202926
2024-09-28 04:08:29.347598,root,maaxboardosm93,blaze_tflite,0.0017196690000673698,0.0013523170000553364,0.010402932000033616,0.002582378000170138,0.0,0.0,0.0,0.0,0.0,0.01605729600032646,62.27698611146416
2024-09-28 04:08:29.391585,root,maaxboardosm93,blaze_tflite,0.00167929200006256,0.00142669599972578,0.010407682999812096,0.002649465000104101,0.0,0.0,0.0,0.0,0.0,0.016163135999704537,61.86918182327242
2024-09-28 04:08:29.431756,root,maaxboardosm93,blaze_tflite,0.0017120849997809273,0.001550701999804005,0.01044439199995395,0.002543084000080853,0.0,0.0,0.0,0.0,0.0,0.016250262999619736,61.53746557968942
2024-09-28 04:08:29.475414,root,maaxboardosm93,blaze_tflite,0.0017132509997281886,0.0013122729997121496,0.010409848999643145,0.002546918000007281,0.0,0.0,0.0,0.0,0.0,0.015982290999090765,62.569252434265536
2024-09-28 04:08:29.515370,root,maaxboardosm93,blaze_tflite,0.001713751999886881,0.0013208159998612246,0.010379930999988574,0.00252616699981445,0.0,0.0,0.0,0.0,0.0,0.01594066599955113,62.73263614131046
2024-09-28 04:08:29.558562,root,maaxboardosm93,blaze_tflite,0.002759512000011455,0.001346316000308434,0.010654569999587693,0.0026530479999564704,0.0,0.0,0.0,0.0,0.0,0.017413445999864052,57.42688724608599
2024-09-28 04:08:29.600299,root,maaxboardosm93,blaze_tflite,0.0017251689996555797,0.0013497330000973307,0.010431808999783243,0.003163532000144187,0.0,0.0,0.0,0.0,0.0,0.01667024299968034,59.987127963232176
2024-09-28 04:08:29.631495,root,maaxboardosm93,blaze_tflite,0.0016935419998844736,0.0013427330000013171,0.010407682999812096,0.002585168999758025,0.0,0.0,0.0,0.0,0.0,0.01602912699945591,62.38642940653872
2024-09-28 04:08:29.663555,root,maaxboardosm93,blaze_tflite,0.0017815470000641653,0.0012506029997894075,0.010433059000206413,0.002507750000404485,0.0,0.0,0.0,0.0,0.0,0.01597295900046447,62.60580772610269
2024-09-28 04:08:29.699912,root,maaxboardosm93,blaze_tflite,0.0017025839997586445,0.0014549059997079894,0.010415640999781317,0.002883183999983885,0.0,0.0,0.0,0.0,0.0,0.016456314999231836,60.76694570119003
